sending_facility,sending_facility_oid
APP FAMILY MEDICINE 2,1.2.840.114350.1.13.333.2.7.2.688879.20000
Skylakes OP Care Management,1.2.840.114350.1.13.333.2.7.2.688879.20000
Sky Lakes Women's Health Clinic,1.2.840.114350.1.13.333.2.7.2.688879.20000
Asante Three Rivers Medical Center - Cardiopulmonary Services,1.2.840.114350.1.13.333.2.7.2.688879.20000
Southern Oregon Neurosurgical and Spine Associates PC,1.2.840.114350.1.13.333.2.7.2.688879.20000
PMG BETHANY,1.2.840.114350.1.13.297.2.7.2.696570.405527
TRMC Cardiopulmonary Diagnostics,1.2.840.114350.1.13.333.2.7.2.688879.20000
Sky Lakes Urology Clinic,1.2.840.114350.1.13.333.2.7.2.688879.20000
Asante Physician Partners Infectious Disease,1.2.840.114350.1.13.333.2.7.2.688879.20000
PROVIDENCE MEDFORD MED CTR PROVIDER OBGYN,1.2.840.114350.1.13.297.2.7.2.696570.40
Sky Lakes Rheumatology Clinic,1.2.840.114350.1.13.333.2.7.2.688879.20000
RRMC Pediatric Assessment &amp; Therapy Services,1.2.840.114350.1.13.333.2.7.2.688879.20000
PROVIDENCE MILWAUKIE HOSPITAL CASE MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
APP PULMONARY,1.2.840.114350.1.13.333.2.7.2.688879.20000
OHR JUNE ST BLDG,1.2.840.114350.1.13.297.2.7.2.696570.404101012
RRMC UR/ED Case Management,1.2.840.114350.1.13.333.2.7.2.688879.20000
Asante Physician Partners Lithia Clinic Medford,1.2.840.114350.1.13.333.2.7.2.688879.20000
ASANTE PHYSICIAN PARTNERS GYNECOLOGY,1.2.840.114350.1.13.333.2.7.2.688879.20000
SLM AMBULATORY SURGERY,1.2.840.114350.1.13.333.2.7.2.688879.20000
SLM DIABETES ED,1.2.840.114350.1.13.333.2.7.2.688879.20000
RRMC TAC,1.2.840.114350.1.13.333.2.7.2.688879.20000
RRMC INFUSION PHARMACY,1.2.840.114350.1.13.333.2.7.2.688879.20000
PROVIDENCE PORTLAND MED CTR PLAZA NUTRITION SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HOSPITALISTS WEST,1.2.840.114350.1.13.297.2.7.2.696570.405671
WOMENS HLTHCR ASSOC-TABOR,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC Cardiopulmonary,1.2.840.114350.1.13.333.2.7.2.688879.20000
PROVIDENCE MEDFORD MED CTR PROVIDER NEUROLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC Advanced Wound Center,1.2.840.114350.1.13.333.2.7.2.688879.20000
PROVIDENCE SAINT VINCENT MED CTR ANESTHESIA,1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Health Systems,1.2.840.114350.1.13.333.2.7.2.688879.20000
Asante Sleep Center at Three Rivers Medical Center,1.2.840.114350.1.13.333.2.7.2.688879.20000
PROVIDENCE MEDFORD MED CTR MOB LAB PSC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Phoenix,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM FAMILY MATERNITY OP,1.2.840.114350.1.13.333.2.7.2.688879.20000
PROV SEASIDE HOSPITAL DIAB CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR WOUND CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
Prov Genetic Risk Assessment WEST,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NEWBERG GENERAL SURGERY AT SHERWOOD,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV GENETIC RISK ASSESSMENT EAST,1.2.840.114350.1.13.297.2.7.2.696570.40
Fanno Creek Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HEART CLINIC CENTER FOR ADV TREATMENT OF A-FIB,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL CT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS MED CTR CT,1.2.840.114350.1.13.297.2.7.2.696570.40
Oak Grove Family Medical,1.2.840.114350.1.13.297.2.7.2.696570.40
CENTER FOR MEDICAL IMAGING -BRIDGEPORT,1.2.840.114350.1.13.297.2.7.2.696570.903
AACH Wound Ostomy,1.2.840.114350.1.13.333.2.7.2.688879.20000
PROVIDENCE ASTORIA ANTICOAGULATION CL,1.2.840.114350.1.13.297.2.7.2.696570.40
EXOR ADVENTIST HEALTH,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL PROVIDER OBGYN,1.2.840.114350.1.13.297.2.7.2.696570.40
GATEWAY IMMEDIATE CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
Southern Oregon Pediatrics,1.2.840.114350.1.13.333.2.7.2.696570.20
AACH Wound Ostomy,1.2.840.114350.1.13.333.2.7.2.696570.10
Myrna A. Casono,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC Diabetes Education,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE SEASIDE HOSPITAL PROVIDER ORTHOPEDICS,1.2.840.114350.1.13.297.2.7.2.696570.40
APP Family Medicine 1,1.2.840.114350.1.13.333.2.7.2.696570.10
APP FAMILY MEDICINE 3,1.2.840.114350.1.13.333.2.7.2.696570.10
RRMC Cardiopulmonary,1.2.840.114350.1.13.333.2.7.2.696570.10
SLM INFUSION CLINIC,1.2.840.114350.1.13.333.2.7.2.696570.60
PROVIDENCE MEDFORD MED CTR OP NUTRITION SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PEDIATRIC NEUROLOGY CHILD CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Physician Partners Urgent Care,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE NEWBERG MED CTR PREADMIT CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG SCHOLLS IC,1.2.840.114350.1.13.297.2.7.2.696570.405510
The Oregon Clinic NW,1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Physician Partners Endocrinology Medford,1.2.840.114350.1.13.333.2.7.2.696570.10
Oregon Internal Medicine Health Information Mgmt,1.2.840.114350.1.13.297.2.7.2.696570.729
TRMC Laboratory,1.2.840.114350.1.13.333.2.7.2.696570.10
RRMC TAC,1.2.840.114350.1.13.333.2.7.2.696570.10
SLM FAMILY BIRTHING CENTER,1.2.840.114350.1.13.333.2.7.2.696570.60
PROVIDENCE SEASIDE VIRTUAL CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR IV THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG THE PLAZA,1.2.840.114350.1.13.297.2.7.2.696570.405524
Providence Oncology and Hematology Care  WF,1.2.840.114350.1.13.297.2.7.2.696570.40
Rogue Regional Sleep Center,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL PHARMACY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR NUTRITION SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Neurological Specialties Multiple Sclerosis Center,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Newberg Oncology and Hematology Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
Sky Lakes Ear Nose &amp; Throat Clinic,1.2.840.114350.1.13.333.2.7.2.696570.60
Sky Lakes Outpatient Rehab,1.2.840.114350.1.13.333.2.7.2.696570.60
PMG GLISAN,1.2.840.114350.1.13.297.2.7.2.696570.405521
PROVIDENCE WILLAMETTE FALLS MED CTR MEDSURG,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC Diabetes Care,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE PORTLAND MED CTR PROVIDER PSYCH,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Psychiatry 9450,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM AMBULATORY SURGERY,1.2.840.114350.1.13.333.2.7.2.696570.60
Providence Medical Group Glisan Dermatology Milwaukie,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG BATTLE GROUND IC,1.2.840.114350.1.13.297.2.7.2.696570.405556
PROVIDENCE SEASIDE CENTRALIZED REFILL AUTHORIZATION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL THERAPY OT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR SE DIAGNOSTIC IMAGING CT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR MEDICAL ONCOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PROVIDER ACC,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Neurological Specialties PPMC,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC Inpatient Rehabilitation,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE NEWBERG MED CTR CASE MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR DIABETIC SERVICES - GRESHAM,1.2.840.114350.1.13.297.2.7.2.696570.40
Cascades East Family Medicine Center,1.2.840.114350.1.13.333.2.7.2.696570.60
SLM FAMILY MATERNITY OP,1.2.840.114350.1.13.333.2.7.2.696570.60
PROVIDENCE SEASIDE HOSPITAL ELECTRODIAGNOSTICS,1.2.840.114350.1.13.297.2.7.2.696570.40
OSV PROVIDENCE ST VINCENT MEDICAL OFFICE BUILDING,1.2.840.114350.1.13.297.2.7.2.696570.405161008
OHR PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,1.2.840.114350.1.13.297.2.7.2.696570.404101
PROVIDENCE MEDFORD MED CTR LACTATION CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE EXPRESS CARE AT WALGREENS BETHANY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG OREGON CITY,1.2.840.114350.1.13.297.2.7.2.696570.405631
PROVIDENCE COLUMBIA GORGE HEART CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG PNCC,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG BRIDGEPORT,1.2.840.114350.1.13.297.2.7.2.696570.405507
RRMC Pre Op Clinic,1.2.840.114350.1.13.333.2.7.2.696570.10
SLM PRE OP CLINIC,1.2.840.114350.1.13.333.2.7.2.696570.60
PMG Ashland Physiatry,1.2.840.114350.1.13.297.2.7.2.696570.40
APP PULMONARY,1.2.840.114350.1.13.333.2.7.2.696570.10
Rogue Valley Manor Clinic,1.2.840.114350.1.13.333.2.7.2.696570.50
SLM ANTICOAG CLINIC,1.2.840.114350.1.13.333.2.7.2.696570.60
APP Family Medicine Ashland,1.2.840.114350.1.13.333.2.7.2.696570.10
APP Orthopedic Surgery,1.2.840.114350.1.13.333.2.7.2.696570.10
ASANTE PHYSICIAN PARTNERS FAMILY MEDICINE WHITE CITY,1.2.840.114350.1.13.333.2.7.2.696570.10
APP UROLOGY GRANTS PASS,1.2.840.114350.1.13.333.2.7.2.696570.10
AACH Respiratory Therapy,1.2.840.114350.1.13.333.2.7.2.696570.10
Sky Lakes Klamath Medical Clinic,1.2.840.114350.1.13.333.2.7.2.696570.60
Asante Physician Partners Family Medicine,1.2.840.114350.1.13.333.2.7.2.696570.10
RRMC Laboratory,1.2.840.114350.1.13.333.2.7.2.696570.10
"Asante Physician Partners - Ear, Nose and Throat Clinic",1.2.840.114350.1.13.333.2.7.2.696570.10
APP Family Medicine Talent,1.2.840.114350.1.13.333.2.7.2.696570.10
APP FAMILY MEDICINE GP,1.2.840.114350.1.13.333.2.7.2.696570.10
RRMC Advanced Wound Center,1.2.840.114350.1.13.333.2.7.2.696570.10
APP NEUROLOGY GP,1.2.840.114350.1.13.333.2.7.2.696570.10
Sky Lakes Primary Care Clinic on Almond,1.2.840.114350.1.13.333.2.7.2.696570.60
TRMC Rehabilitation Services,1.2.840.114350.1.13.333.2.7.2.696570.10
RRMC Cardiac Rehab,1.2.840.114350.1.13.333.2.7.2.696570.10
RRMC Rehabilitation Services,1.2.840.114350.1.13.333.2.7.2.696570.10
Sky Lakes Family Medicine Clinic,1.2.840.114350.1.13.333.2.7.2.696570.60
Sky Lakes Urology Clinic,1.2.840.114350.1.13.333.2.7.2.696570.60
Sky Lakes Primary Care Clinic on Clover,1.2.840.114350.1.13.333.2.7.2.696570.60
SLM CARDIOPULMONARY,1.2.840.114350.1.13.333.2.7.2.696570.60
APP Maternal Fetal Medicine,1.2.840.114350.1.13.333.2.7.2.696570.10
ASANTE PHYSICIAN PARTNERS FAMILY MEDICINE ASHLAND 2,1.2.840.114350.1.13.333.2.7.2.696570.10
APP CVTS MF,1.2.840.114350.1.13.333.2.7.2.696570.10
Asante Physician Partners Lithia Clinic Medford,1.2.840.114350.1.13.333.2.7.2.696570.10
Sky Lakes Dermatology Clinic,1.2.840.114350.1.13.333.2.7.2.696570.60
Asante Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
Asante Women's Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
SLM LABORATORY,1.2.840.114350.1.13.333.2.7.2.696570.60
APP Neurology,1.2.840.114350.1.13.333.2.7.2.696570.10
Asante Physician Partners Infectious Disease,1.2.840.114350.1.13.333.2.7.2.696570.10
APP SURGICAL GROUP GP,1.2.840.114350.1.13.333.2.7.2.696570.10
SLM DIABETES ED,1.2.840.114350.1.13.333.2.7.2.696570.60
PROV Hospitalists West,1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Physician Partners - Endocrinology Clinic,1.2.840.114350.1.13.333.2.7.2.696570.10
Sky Lakes General Surgery Clinic,1.2.840.114350.1.13.333.2.7.2.696570.60
APP Internal Medicine Ashland,1.2.840.114350.1.13.333.2.7.2.696570.10
Sky Lakes Rheumatology Clinic,1.2.840.114350.1.13.333.2.7.2.696570.60
Asante Physician Partners Contact Center,1.2.840.114350.1.13.333.2.7.2.696570.10
Southern Oregon Neurosurgical and Spine Associates PC,1.2.840.114350.1.13.333.2.7.2.696570.40
Asante Infusion Services,1.2.840.114350.1.13.333.2.7.2.696570.10
ASANTE PHYSICIAN PARTNERS GYNECOLOGY,1.2.840.114350.1.13.333.2.7.2.696570.10
AACH DIABETES,1.2.840.114350.1.13.333.2.7.2.696570.10
Asante Three Rivers Medical Center - Cardiopulmonary Services,1.2.840.114350.1.13.333.2.7.2.696570.10
ASANTE DISCHARGE PHONE CALL,1.2.840.114350.1.13.333.2.7.2.696570.10
SkyLakes Medical Center Pulmonology,1.2.840.114350.1.13.333.2.7.2.696570.60
Sky Lakes Adult Medicine Clinic,1.2.840.114350.1.13.333.2.7.2.696570.60
Skylakes OP Care Management,1.2.840.114350.1.13.333.2.7.2.696570.60
Asante Physician Partners Pediatrics Ashland,1.2.840.114350.1.13.333.2.7.2.696570.10
Asante Physician Partners Lithia Clinic Medford 2,1.2.840.114350.1.13.333.2.7.2.696570.10
ONB PROVIDENCE NEWBERG MEDICAL CENTER,1.2.840.114350.1.13.297.2.7.2.696570.401101
Asante Physician Partners Transitional Care Clinic,1.2.840.114350.1.13.333.2.7.2.696570.10
Asante Physician Partners General Surgery,1.2.840.114350.1.13.333.2.7.2.696570.10
PROV CARDIAC CLINIC DEVICE &amp; MONITORING ASTORIA,1.2.840.114350.1.13.297.2.7.2.696570.40
APP FAMILY MEDICINE 2,1.2.840.114350.1.13.333.2.7.2.696570.10
TRMC Cardiopulmonary Diagnostics,1.2.840.114350.1.13.333.2.7.2.696570.10
RRMC Heart Center,1.2.840.114350.1.13.333.2.7.2.696570.10
AACH Same Day Surgery,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE PORTLAND MED CTR SLEEP LAB AND EEG,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC Cardiac/Pulmonary Rehab,1.2.840.114350.1.13.333.2.7.2.696570.10
Asante Ashland Women's Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
Providence Medical Group Tanasbourne Immediate Care,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HEART CLINIC HEART RHYTHM WILLAMETTE FALLS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL OP PHARMACY SER,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG CALL CENTER,1.2.840.114350.1.13.297.2.7.2.696570.405719
RRMC Pediatric Assessment &amp; Therapy Services,1.2.840.114350.1.13.333.2.7.2.696570.10
SLM CARES KF,1.2.840.114350.1.13.333.2.7.2.696570.60
Sky Lakes Women's Health Clinic,1.2.840.114350.1.13.333.2.7.2.696570.60
OHR HOOD RIVER VIRTUAL CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MILL PLAIN,1.2.840.114350.1.13.297.2.7.2.696570.405523
PROVIDENCE SAINT VINCENT MED CTR ET AND WOUND CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR PROVIDER MED SURG,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC UR/ED Case Management,1.2.840.114350.1.13.333.2.7.2.696570.10
RRMC PEDIATRIC OUTPATIENT,1.2.840.114350.1.13.333.2.7.2.696570.10
TRMC Lactation,1.2.840.114350.1.13.333.2.7.2.696570.10
Asante Physician Partners Endocrinology Ashland,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE PORTLAND MED CTR NURSERY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR PROVIDER ONCOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
"Marc D. Orlando,M.D.,F.A.C.S, Sky Lakes General Surgery",1.2.840.114350.1.13.333.2.7.2.696570.60
PROVIDENCE WILLAMETTE FALLS THERAPY SLP,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG GLISAN DERMATOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.405618
PMG BRIDGEPORT IC,1.2.840.114350.1.13.297.2.7.2.696570.405508
OREGON BUSINESS OFFICE,1.2.840.114350.1.13.297.2.7.2.696570.40
AACH Laboratory,1.2.840.114350.1.13.333.2.7.2.696570.10
Asante Sleep Center at Three Rivers Medical Center,1.2.840.114350.1.13.333.2.7.2.696570.10
OSV OB Triage,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE REGIONAL MED CTR QUALITY MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR PROVIDER SURGICAL,1.2.840.114350.1.13.297.2.7.2.696570.40
SkyLakes Medical Center Maternal Fetal Medicine,1.2.840.114350.1.13.333.2.7.2.696570.60
PROVIDENCE SAINT VINCENT MED CTR PROVIDER PSYCH,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS PROVIDER ORTHO,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR HEALTH INFORMATION MGT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV SEASIDE HOSP OP NUTRITION SER,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Glisan Dermatology Sunnyside,1.2.840.114350.1.13.297.2.7.2.696570.40
CENTER FOR MEDICAL IMAGING - BRIDGEPORT,1.2.840.114350.1.13.297.2.7.2.696570.903
PMG CAMAS XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC INFUSION PHARMACY,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE SAINT VINCENT MED CTR NCCU,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG SOUTHEAST FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.405551
Sky Lakes Pacemaker/Defibrillator Clinic,1.2.840.114350.1.13.333.2.7.2.696570.60
PROV EC WALGREENS MILWAUKIE,1.2.840.114350.1.13.297.2.7.2.696570.405547
OPH PROVIDENCE PORTLAND MEDICAL CENTER BLD C,1.2.840.114350.1.13.297.2.7.2.696570.405141002
PHS OR MYCHART CUSTOMER SUPPORT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PROVIDER PEDIATRICS,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC Cardiac ED,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE PORTLAND MED CTR PROVIDER NICU,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR UTILIZATION REVIEW,1.2.840.114350.1.13.297.2.7.2.696570.40
Newberg Family Practice,1.2.840.114350.1.13.297.2.7.2.696570.40
"REHABILITATION MEDICINE PHYSICIANS OF SOUTHERN OREGON,PC",1.2.840.114350.1.13.333.2.7.2.696570.30
Asante Ashland Community Hospital Lactation Clinic,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE NEWBERG MED CTR PROVIDER OBGYN,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Ashland Neurology,1.2.840.114350.1.13.297.2.7.2.696570.40
APP Gynecological Oncology,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL SPIRITUAL CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NEWBERG OB/GYN,1.2.840.114350.1.13.297.2.7.2.696570.40
EXOR VIRGINIA GARCIA,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL CARDIAC REHAB,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG FINANCE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MOTHER AND BABY CLINIC - PROVIDENCE PORTLAND,1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Physician Partners Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
Rose City Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
Monterey Health Center,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDICAL MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PSVMC Prenatal Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
Outside In,1.2.840.114350.1.13.297.2.7.2.696570.40
REGIONAL OR HEALTH INFORMATION MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR CASE MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NORTH PORTLAND FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.405522
Westside Internal Medicine 238,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG DOCTORS CLINIC INFECTIOUS DISEASE,1.2.840.114350.1.13.297.2.7.2.696570.40
PATIENT ENGAGEMENT CENTER RENTON,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR NUCLEAR MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Oregon City General Surgery at Happy Valley,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PROVIDER NEPHROLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS MED CTR ULTRASOUND,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR ACUTE THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL EMERGENCY CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR ET AND WOUND CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR LABOR AND DELIVERY IP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEM HOSP ELECTRODIAGNOSTICS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ORAL ONCOLOGY AND ORAL MEDICINE NORTH,1.2.840.114350.1.13.297.2.7.2.696570.40
CARDIOLOGY CONSULTANTS LLC,1.2.840.114350.1.13.297.2.7.2.696570.40
Legacy Clinic Canby,1.2.840.114350.1.13.297.2.7.2.696570.40
EXOR GRESHAM FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL HEALTH INFORMATION MGMT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR PROVIDER MED SURG,1.2.840.114350.1.13.297.2.7.2.696570.40
W Michael Ryan MD,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL DIETARY,1.2.840.114350.1.13.297.2.7.2.696570.40
OHR SLOAN BLDG,1.2.840.114350.1.13.297.2.7.2.696570.404101004
PMG NEWBERG ENT AT TANASBOURNE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL PROVIDER SURGICAL,1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Hospice,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE NEWBERG MED CTR NURSERY,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC US Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
TRMC Pre Operative,1.2.840.114350.1.13.333.2.7.2.696570.10
TRMC X-Ray Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
Southern Oregon Neurosurgical and Spine Associates HIM,1.2.840.114350.1.13.333.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HSPTL LABOR AND DELIVERY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR OP INFUSION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL HOSPITALISTS,1.2.840.114350.1.13.297.2.7.2.696570.40
Sherwood Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC AT TOC GATEWAY 102,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG SHERWOOD FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.401502
PULMONARY FUNCTION,1.2.840.114350.1.13.297.2.7.2.696570.40
Cedar Creek Internal Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR RESPIRATORY THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR RESPIRATORY THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL PROVIDER OBGYN,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence ElderPlace Transportation Portland,1.2.840.114350.1.13.297.2.7.2.696570.40
PORTLAND MEDICAL IMAGING,1.2.840.114350.1.13.297.2.7.2.696570.901
PMG TANASBOURNE,1.2.840.114350.1.13.297.2.7.2.696570.405502
POH CLACKAMAS,1.2.840.114350.1.13.297.2.7.2.696570.405684
Asante Physician Partners Urgent Care Medford,1.2.840.114350.1.13.333.2.7.2.696570.10
PMG RISK AND COMPLIANCE,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Pediatric Neurology Longview,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR BEH HLTH ADULT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR ELECTRODIAGNOSTICS,1.2.840.114350.1.13.297.2.7.2.696570.40
